product_id,title,units_sold,rating
5e9ae51d43d6a96e303acdb0,2020 Summer Vintage Flamingo Print  Pajamas Set Casual Loose T Shirt Top And Elastic Shorts Women Sleepwear Night Wear Loungewear Sets,100,3.76
58940d436a0d3d5da4e95a38,SSHOUSE Summer Casual Sleeveless Soirée Party Soirée sans manches Vêtements de plage sexy Mini robe femme wshC1612242400387A21,20000,3.45
5ea10e2c617580260d55310a,2020 Nouvelle Arrivée Femmes Printemps et Été Plage Porter Longue Mince Cardigan Ouvert Avant Kimono Vert Feuille Imprimé En Mousseline de Soie Cardigan S-5XL,100,3.57
5cedf17ad1d44c52c59e4aca,Hot Summer Cool T-shirt pour les femmes Mode Tops Abeille Lettres imprimées Manches courtes O Neck Coton T-shirts Tops Tee Vêtements,5000,4.03
5ebf5819ebac372b070b0e70,"Femmes Shorts d'été à lacets taille élastique lâche mince pantalon décontracté, plus la taille S-8XL",100,3.1
5ec645bafd107a02279c8c54,Plus la taille d'été femmes décontracté sans manches barboteuses combinaisons combinaison de couleur unie jarretelles pantalons lâche salopette,10,5.0
5c63a337d5e2ce4bbb3152cf,Women Fashion Loose Lace Blouse Blouse V Neck Bat Sleeves T Shirt Hollow Out Tops Plus Grande Taille XS-8XL,50000,3.84
5e0ae5ebc2efb76ccf0a3391,Robe tunique ample femme Robe d'été Robe en jean Robe chemise en jean Robe droite,1000,3.76
5e6f1fb7fe4a5bb4b8bf36e5,Robe d'été décontractée à manches courtes pour femmes,100,3.47
5ccfaf238a8d535cec2dfb47,"Femmes d'été, plus la taille décontractée lâche col en V à manches courtes imprimé floral Blouse Tops",5000,3.6
5cac5af68de7960d89e54fe0,Femmes Mode Été Lâche Sans Manches Poches Couleur Unie Maxi Dress Robe Décontractée Plus La Taille,1000,3.46
5ec49d527d7044ccfa3f1c04,Été Sexy Femmes Mode Casual Lâche Tops Casual T-Shirt D'été Col En V Solide Couleur Plus La Taille À Manches Courtes Blouse,100,3.31
5e9da39dc737cf255eddd4bf,Shorts de causalité d'été de nouvelles femmes Pantalon court à cordon Pantalon court lâche,1000,3.45
5d1db3c0e2b5cc0f74e091af,"Mode féminine sans manches col profond croix sangle spaghetti couleur unie débardeur chemisier lâche plage gilet haut et chemisier été T-shirts décontractés, plus la taille",1000,3.32
5cc2ce18bc97595b6549fa14,2019 Summer Women's Fashion Nouvelle robe sans manches à pois à encolure en V et à bretelles en V sans dos Mini robes casual casual top,20000,3.65
5c85d47641ec3b55d4d14f79,Mode d'été Flare Sleeve Plus Size T-shirt hors de l'épaule mignon couleur unie haut chemise à manches longues,1000,3.92
